frame,bass,low_mid,mid,high_mid,high,beat,energy
192,0.07959,0.046134,0.062901,0.004676,0.000767,0.0,0.083279
193,0.07499,0.046347,0.064743,0.014195,0.0005,0.0,0.078772
194,0.071632,0.065408,0.031655,0.006897,0.000393,0.0,0.076397
195,0.09387,0.042133,0.023805,0.016403,0.000402,0.0,0.096643
196,0.0926,0.022802,0.03594,0.004061,0.00051,0.0,0.094087
197,0.087418,0.022273,0.04363,0.004361,0.000375,0.0,0.089009
198,0.091249,0.0283,0.052427,0.012941,0.000325,0.0,0.093394
199,0.095251,0.053074,0.064702,0.008632,0.000214,0.0,0.099369
200,0.092235,0.051949,0.042475,0.006854,0.000503,0.0,0.095988
201,0.093357,0.03522,0.044028,0.005157,0.000243,0.0,0.095874
202,0.092744,0.039255,0.02835,0.014583,0.00019,0.0,0.09537
203,0.084609,0.035199,0.023082,0.004316,0.000318,0.0,0.086905
204,0.082172,0.043741,0.031568,0.004984,0.000289,0.0,0.085239
205,0.085948,0.050468,0.059256,0.003631,0.000179,0.0,0.08986
206,0.089729,0.059759,0.02533,0.00369,0.000148,0.0,0.093844
207,0.083023,0.064619,0.012184,0.00718,6.6e-05,0.0,0.087378
208,0.084435,0.088839,0.014795,0.005999,0.000119,0.0,0.090616
209,0.080987,0.076475,0.025443,0.002868,0.000139,0.0,0.086412
210,0.073228,0.066074,0.025895,0.004992,0.000103,0.0,0.077948
211,0.074916,0.047652,0.031324,0.003406,8.5e-05,0.0,0.078324
212,0.072,0.045752,0.015668,0.00185,0.000101,0.0,0.075073
213,0.083367,0.02981,0.027986,0.003113,0.000119,0.0,0.085336
214,0.068071,0.021917,0.020405,0.0022,0.000143,0.0,0.069465
215,0.075383,0.032901,0.025686,0.001976,0.000121,0.0,0.07761
216,0.078113,0.050193,0.014762,0.001573,0.00017,0.0,0.081458
217,0.080956,0.091159,0.016452,0.00242,7.9e-05,0.0,0.087351
218,0.073654,0.102823,0.015482,0.002024,8.6e-05,0.0,0.08096
219,0.07786,0.054786,0.030395,0.003787,6.9e-05,0.0,0.081763
220,0.081538,0.056235,0.018373,0.001266,8.5e-05,0.0,0.085354
221,0.070518,0.045488,0.018004,0.001984,7.9e-05,0.0,0.073614
222,0.074485,0.045195,0.016309,0.002721,9.8e-05,0.0,0.077507
223,0.085083,0.046481,0.008,0.002343,6.8e-05,0.0,0.088007
224,0.078483,0.037371,0.005574,0.002503,7.5e-05,0.0,0.080747
225,0.090233,0.029637,0.010401,0.001822,8.9e-05,0.0,0.091896
